nazwa;kierunek;semestr;liczba godzin;typ
mikroekonomia;informatyka i ekonometria;1;30;wykład
mikroekonomia;informatyka i ekonometria;1;15;ćwiczenia
algebra liniowa;informatyka i ekonometria;1;30;wykład
algebra liniowa;informatyka i ekonometria;1;30;ćwiczenia
analiza matematyczna 1;informatyka i ekonometria;1;30;wykład
analiza matematyczna 1;informatyka i ekonometria;1;30;ćwiczenia
informatyka ekonomiczna;informatyka i ekonometria;1;15;wykład
informatyka ekonomiczna;informatyka i ekonometria;1;30;laboratorium
wstęp do programowania;informatyka i ekonometria;1;15;wykład
wstęp do programowania;informatyka i ekonometria;1;15;laboratorium
wstęp do matematyki;informatyka i ekonometria;1;30;wykład
wstęp do matematyki;informatyka i ekonometria;1;30;ćwiczenia
język obcy;informatyka i ekonometria;1;60;ćwiczenia
wychowanie fizyczne;informatyka i ekonometria;1;30;ćwiczenia
makroekonomia;informatyka i ekonometria;2;30;wykład
makroekonomia;informatyka i ekonometria;2;15;ćwiczenia
analiza matematyczna 2;informatyka i ekonometria;2;30;wykład
analiza matematyczna 2;informatyka i ekonometria;2;30;ćwiczenia
statystyka opisowa i ekonomiczna;informatyka i ekonometria;2;15;wykład
statystyka opisowa i ekonomiczna;informatyka i ekonometria;2;30;laboratorium
algorytmy i struktury danych;informatyka i ekonometria;2;15;wykład
algorytmy i struktury danych;informatyka i ekonometria;2;30;ćwiczenia
matematyka dyskretna;informatyka i ekonometria;2;15;wykład 
matematyka dyskretna;informatyka i ekonometria;2;15;ćwiczenia
ochrona własności intelektualnej;informatyka i ekonometria;2;15;wykład
prawo;informatyka i ekonometria;2;30;wykład
filozofia/psychologia/socjologia;ekonometria;2;30;wykład
język obcy;ekonometria;2;30;ćwiczenia
rachunek prawdopodobieństwa i statystyka matematyczna;ekonometria;3;30;wykład
rachunek prawdopodobieństwa i statystyka matematyczna;ekonometria;3;30;ćwiczenia
rachunek prawdopodobieństwa i statystyka matematyczna;ekonometria;3;30;laboratorium
programowanie matematyczne;informatyka i ekonometria;3;15;wykład
programowanie matematyczne;informatyka i ekonometria;3;15;ćwiczenia
programowanie komputerowe;informatyka i ekonometria;3;15;wykład
programowanie komputerowe;informatyka i ekonometria;3;30;laboratorium
systemy operacyjne;informatyka i ekonometria;3;15;wykład
systemy operacyjne;informatyka i ekonometria;3;30;laboratorium
finanse;informatyka i ekonometria;3;15;wykład
finanse;informatyka i ekonometria;3;30;ćwiczenia
